ICD 10 CODE,DESCRIPTION,GROUP,
M16.9,"Coxarthrosis, unspecified",ARTHROSIS,
M17.0,"Primary gonarthrosis, bilateral",ARTHROSIS,
M17.1,Other primary gonarthrosis; Primary gonarthrosis NOS; Primary gonarthrosis unilateral,ARTHROSIS,
M17.2,"Post-traumatic gonarthrosis, bilateral",ARTHROSIS,
M17.3,Other post-traumatic gonarthrosis; Post-traumatic gonarthrosis NOS; Post-traumatic gonarthrosis unilateral,ARTHROSIS,
M17.5,Other secondary gonarthrosis; Secondary gonarthrosis NOS; Secondary gonarthrosis unilateral,ARTHROSIS,
M17.9,"Gonarthrosis, unspecified",ARTHROSIS,
M18.0,"Primary arthrosis of first carpometacarpal joints, bilateral",ARTHROSIS,
M18.9,"Arthrosis of first carpometacarpal joint, unspecified",ARTHROSIS,
M19.00,Primary arthrosis of other joints; Primary arthrosis NOSmultiple sites,ARTHROSIS,
M19.02,Primary arthrosis of other joints; Primary arthrosis NOSupper arm,ARTHROSIS,
M19.05,Primary arthrosis of other joints; Primary arthrosis NOSpelvic region and thigh,ARTHROSIS,
M19.06,Primary arthrosis of other joints; Primary arthrosis NOSlower leg,ARTHROSIS,
M19.08,Primary arthrosis of other joints; Primary arthrosis NOSother sites,ARTHROSIS,
M19.09,Primary arthrosis of other joints; Primary arthrosis NOSsite unspecified,ARTHROSIS,
M19.10,Post-traumatic arthrosis of other joints; Post-traumatic arthrosis NOS multiple sites,ARTHROSIS,
M19.11,Post-traumatic arthrosis of other joints; Post-traumatic arthrosis NOS shoulder region,ARTHROSIS,
M19.12,Post-traumatic arthrosis of other joints; Post-traumatic arthrosis NOS upper arm,ARTHROSIS,
M19.19,Post-traumatic arthrosis of other joints; Post-traumatic arthrosis NOS site unspecified,ARTHROSIS,
M19.21,Other secondary arthrosis; Secondary arthrosis NOS shoulder region,ARTHROSIS,
M19.29,Other secondary arthrosis; Secondary arthrosis NOS site unspecified,ARTHROSIS,
M19.81,Other specified arthrosis shoulder region,ARTHROSIS,
M19.86,Other specified arthrosis lower leg,ARTHROSIS,
M19.87,Other specified arthrosis ankle and foot,ARTHROSIS,
M19.88,Other specified arthrosis other sites,ARTHROSIS,
M19.89,Other specified arthrosis site unspecified,ARTHROSIS,
M19.90,"Arthrosis, unspecified multiple sites",ARTHROSIS,
M19.91,"Arthrosis, unspecified shoulder region",ARTHROSIS,
M19.92,"Arthrosis, unspecified upper arm",ARTHROSIS,
M19.93,"Arthrosis, unspecified forearm",ARTHROSIS,
M19.94,"Arthrosis, unspecified hand",ARTHROSIS,
M19.95,"Arthrosis, unspecified pelvic region and thigh",ARTHROSIS,
M19.96,"Arthrosis, unspecified lower leg",ARTHROSIS,
M19.97,"Arthrosis, unspecified ankle and foot",ARTHROSIS,
M19.98,"Arthrosis, unspecified other sites",ARTHROSIS,
M19.99,"Arthrosis, unspecified site unspecified
Osteoarthritis",ARTHROSIS,
J45.00,Predominantly allergic asthma; Allergic bronchitis NOS; Allergic rhinitis with asthma; Atopic asthma; Extrinsic allergic asthma; Hay fever with asthma; in Acute Exacerbation,ASTHMA IN ACUTE EXACERBATION,
J45.10,"Nonallergic asthma; Idiosyncratic asthma; Intrinsic nonallergic asthma, in Acute Exacerbation",ASTHMA IN ACUTE EXACERBATION,
J45.80,"Mixed asthma, in Acute Exacerbation",ASTHMA IN ACUTE EXACERBATION,
J45.90,Bronchial Asthma in Acute Exacerbation,ASTHMA IN ACUTE EXACERBATION,
J46,Status asthmaticus; Acute severe asthma,ASTHMA IN ACUTE EXACERBATION,
J98.1,Pulmonary collapse; Atelectasis; Collapse of lung; Brock's syndrome,ATELECTASIS,
M54.01,Panniculitis affecting regions of neck and back  occipito-atlanto-axial region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.06,Panniculitis affecting regions of neck and back  lumbar region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.08,Panniculitis affecting regions of neck and back  sacral and sacrococcygeal region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.10,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 Multiple sites in spine","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.11,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 occipito-atlanto-axial region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.12,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 cervical region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.14,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 thoracic region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.15,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 thoracolumbar region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.16,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 lumbar region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.17,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 lumbosacral region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.18,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 sacral and sacrococcygeal region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.19,"Radiculopathy; Brachial Neuritis or radiculitis   NOS;  Lumbar Neuritis or radiculitis   NOS;  Lumbosacral; thoracic Neuritis or radiculitis   NOS ; Radiculitis NOS 
 site unspecified","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.2,Cervicalgia,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.20,Cervicalgia  Multiple sites in spine,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.22,Cervicalgia  cervical region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.26,Cervicalgia  lumbar region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.3,Sciatica,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.30,Sciatica  Multiple sites in spine,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.31,Sciatica  occipito-atlanto-axial region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.35,Sciatica  thoracolumbar region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.36,Sciatica  lumbar region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.37,Sciatica  lumbosacral region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.38,Sciatica  sacral and sacrococcygeal region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.39,Sciatica  site unspecified,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.4,Lumbago with sciatica,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.41,Lumbago with sciatica  occipito-atlanto-axial region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.44,Lumbago with sciatica  thoracic region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.46,Lumbago with sciatica  lumbar region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.48,Lumbago with sciatica  sacral and sacrococcygeal region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.49,Lumbago with sciatica  site unspecified,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.5,Low back pain; Loin pain; Low back strain; Lumbago NOS,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.50,Low back pain; Loin pain; Low back strain; Lumbago NOS Multiple sites in spine,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.51,Low back pain; Loin pain; Low back strain; Lumbago NOS occipito-atlanto-axial region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.52,Low back pain; Loin pain; Low back strain; Lumbago NOS cervical region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.84,Other dorsalgia  thoracic region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.88,Other dorsalgia  sacral and sacrococcygeal region,"BACK PAIN, RADICULOPATHY, SCIATICA",
M54.91,"Dorsalgia, unspecified; Backache NOS occipito-atlanto-axial region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.93,"Dorsalgia, unspecified; Backache NOS cervicothoracic region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.96,"Dorsalgia, unspecified; Backache NOS lumbar region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.97,"Dorsalgia, unspecified; Backache NOS lumbosacral region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.98,"Dorsalgia, unspecified; Backache NOS sacral and sacrococcygeal region","BACK PAIN, RADICULOPATHY, SCIATICA",
M54.99,"Dorsalgia, unspecified; Backache NOS site unspecified","BACK PAIN, RADICULOPATHY, SCIATICA",
N31.0,"Uninhibited neuropathic bladder, not elsewhere classified",BLADDER DYSFUNCTION,
N31.1,"Reflex neuropathic bladder, not elsewhere classified",BLADDER DYSFUNCTION,
N31.2,"Flaccid neuropathic bladder, not elsewhere classified; Atonic  Motor Neuropathic bladder;  Sensory Atonic  Motor Neuropathic bladder; Autonomous Neuropathic bladder ;  Nonreflex Neuropathic bladder",BLADDER DYSFUNCTION,
N31.8,Other neuromuscular dysfunction of bladder,BLADDER DYSFUNCTION,
N31.9,"Neuromuscular dysfunction of bladder, unspecified; Neurogenic bladder dysfunction NOS",BLADDER DYSFUNCTION,
N32.9,"Bladder disorder, unspecified",BLADDER DYSFUNCTION,
N39.3,Stress incontinence,BLADDER DYSFUNCTION,
N39.4,"Other specified urinary incontinence; Overflow incontinence, Reflex incontinence, Urge incontinence",BLADDER DYSFUNCTION,
R32,Unspecified urinary incontinence; Enuresis NOS,BLADDER DYSFUNCTION,
A05.1,Botulism; Classical foodborne intoxication due to Clostridium botulinum,BOTULISM,
G93.5,"Compression of brain; [compression, Herniation] of brain (stem)",BRAIN HERNIATION,
N61,"Inflammatory disorders of breast; Acute abscess of non puerperal areola; Acute abscess nonpuerperal breast; Chronic abscess of nonpuerperal  areola; Chronic abscess of nonpuerperal  breast; Carbuncle of breast;  Acute mastitis nonpuerperal, NOS; Acute mastitis nonpuerperal, infective; subacute mastitis nonpuerperal, NOS; subacute mastitis nonpuerpural, infective",BREAST INFECTIONS,
O91.0,Infection of nipple associated with childbirth; Gestational abscess of nipple; Puerperal abscess of nipple,BREAST INFECTIONS,
O91.1,Abscess of breast associated with childbirth; Mammary abscess gestational or puerperal; Purulent mastitis gestational or puerperal; Subareolar abscess gestational or puerperal,BREAST INFECTIONS,
O91.2,Nonpurulent mastitis associated with childbirth; Lymphangitis of breast gestational or puerperal; Mastitis NOS gestational or puerperal; Interstitial mastitis gestational or puerperal; Parenchymatous mastitis gestational or puerperal,BREAST INFECTIONS,
O92.0,Retracted nipple associated with childbirth,BREAST INFECTIONS,
O92.1,"Cracked nipple associated with childbirth; Fissure of nipple, gestational or puerperal",BREAST INFECTIONS,
C50.0,"Malignant neoplasm of Nipple and areola, breast",BREAST MALIGNANCY,
C50.1,Malignant neoplasm of Central portion of breast,BREAST MALIGNANCY,
C50.2,Malignant neoplasm of Upper-inner quadrant of breast,BREAST MALIGNANCY,
C50.3,Malignant neoplasm of Lower-inner quadrant of breast,BREAST MALIGNANCY,
C50.4,Malignant neoplasm of Upper-outer quadrant of breast,BREAST MALIGNANCY,
C50.6,Malignant neoplasm of Axillary tail of breast,BREAST MALIGNANCY,
C50.8,Malignant neoplasm of Overlapping lesion of breast,BREAST MALIGNANCY,
C50.9,"Malignant neoplasm of Breast, unspecified",BREAST MALIGNANCY,
L10.0,Pemphigus vulgaris,BULLOUS DISORDERS,
L10.1,Pemphigus vegetans,BULLOUS DISORDERS,
L10.2,Pemphigus foliaceus,BULLOUS DISORDERS,
L10.4,Pemphigus erythematosus; Senear-Usher syndrome,BULLOUS DISORDERS,
L10.8,Other pemphigus,BULLOUS DISORDERS,
L10.9,"Pemphigus, unspecified",BULLOUS DISORDERS,
L11.0,Acquired keratosis follicularis,BULLOUS DISORDERS,
L11.1,Transient acantholytic dermatosis [Grover],BULLOUS DISORDERS,
L11.9,"Acantholytic disorder, unspecified",BULLOUS DISORDERS,
L12.0,Bullous pemphigoid,BULLOUS DISORDERS,
L12.1,Cicatricial pemphigoid; Benign mucous membrane pemphigoid,BULLOUS DISORDERS,
L12.2,Chronic bullous disease of childhood; Juvenile dermatitis herpetiformis,BULLOUS DISORDERS,
L12.3,Acquired epidermolysis bullosa,BULLOUS DISORDERS,
L12.8,Other pemphigoid,BULLOUS DISORDERS,
L13.0,Dermatitis herpetiformis; Duhring's disease,BULLOUS DISORDERS,
L13.1,Subcorneal pustular dermatitis; Sneddon-Wilkinson disease,BULLOUS DISORDERS,
L13.9,"Bullous disorder, unspecified",BULLOUS DISORDERS,
T20.4,Corrosion of unspecified degree of head and neck,BURN A,
T21.0,Burn of unspecified degree of trunk,BURN A,
T21.2,Burn of second degree of trunk,BURN A,
T21.5,Corrosion of first degree of trunk,BURN A,
T21.6,Corrosion of second degree of trunk,BURN A,
T22.2,"Burn of second degree of shoulder and upper limb, except wrist and hand",BURN A,
T22.5,"Corrosion of first degree of shoulder and upper limb, except wrist and hand",BURN A,
T22.6,"Corrosion of second degree of shoulder and upper limb, except wrist and hand",BURN A,
T23.2,Burn of second degree of wrist and hand,BURN A,
T23.4,Corrosion of unspecified degree of wrist and hand,BURN A,
T24.2,"Burn of second degree of hip and lower limb, except ankle and foot",BURN A,
T24.5,"Corrosion of first degree of hip and lower limb, except ankle and foot",BURN A,
T24.6,"Corrosion of second degree of hip and lower limb, except ankle and foot",BURN A,
T25.2,Burn of second degree of ankle and foot,BURN A,
T25.5,Corrosion of first degree of ankle and foot,BURN A,
T26.0,Burn of eyelid and periocular area,BURN A,
T26.4,"Burn of eye and adnexa, part unspecified",BURN A,
T26.9,"Corrosion of eye and adnexa, part unspecified",BURN A,
T27.3,"Burn of respiratory tract, part unspecified",BURN A,
T27.7,"Corrosion of respiratory tract, part unspecified",BURN A,
T28.9,Corrosion of other and unspecified internal organs,BURN A,
T29.1,"Burns of multiple regions, no more than first-degree burns mentioned",BURN A,
T30.0,"Burn of unspecified body region, unspecified degree; Burn NOS",BURN A,
T30.2,"Burn of second degree, body region unspecified; Secodn-degree burn NOS",BURN A,
T30.3,"Burn of third degree, body region unspecified; Third-degree burn NOS",BURN A,
T30.4,"Corrosion of unspecified body region, unspecified degree; Corrosion NOS",BURN A,
T30.5,"Corrosion of first degree, body region unspecified; First-degree corrosion NOS",BURN A,
T30.6,"Corrosion of second degree, body region unspecified; Second-degree corrosion NOS",BURN A,
T30.7,"Corrosion of third degree, body region unspecified; Thrid-degree corrosion NOS",BURN A,
T31.0,Burns involving less than 10% of body surface,BURN A,
T31.1,Burns involving 10-19% of body surface,BURN A,
T32.0,Corrosions involving less than 10% of body surface,BURN A,
T32.1,Corrosions involving 10-19% of body surface,BURN A,
T34.1,Frostbite with tissue necrosis of neck,BURN A,
T35.0,Superficial frostbite involving multiple body regions; Multiple superficial frosbite NOS,BURN A,
T35.1,Frostbite with tissue necrosis involving multiple body regions; Multiple frosbite with tissue necrosis NOS,BURN A,
T20.2,Burn of second degree of head and neck,BURN B,
T20.3,Burn of third degree of head and neck,BURN B,
T20.6,Corrosion of second degree of head and neck,BURN B,
T22.3,"Burn of third degree of shoulder and upper limb, except wrist and hand",BURN B,
T23.3,Burn of third degree of wrist and hand,BURN B,
T23.6,Corrosion of second degree of wrist and hand,BURN B,
T23.7,Corrosion of third degree of wrist and hand,BURN B,
T24.3,"Burn of third degree of hip and lower limb, except ankle and foot",BURN B,
T24.7,"Corrosion of third degree of hip and lower limb, except ankle and foot",BURN B,
T25.3,Burn of third degree of ankle and foot,BURN B,
T26.1,Burn of cornea and conjunctival sac,BURN B,
T26.2,Burn with resulting rupture and destruction of eyeball,BURN B,
T26.3,Burn of other parts of eye and adnexa,BURN B,
T26.6,Corrosion of cornea and conjunctival sac,BURN B,
T27.0,Burn of larynx and trachea,BURN B,
T27.2,Burn of other parts of respiratory tract; Thoracic cavity,BURN B,
T28.0,Burn of mouth and pharynx,BURN B,
T28.1,Burn of oesophagus,BURN B,
T28.2,Burn of other parts of alimentary tract,BURN B,
T28.3,Burn of internal genitourinary organs,BURN B,
T28.5,Corrosion of mouth and pharynx,BURN B,
T28.6,Corrosion of oesophagus,BURN B,
T28.7,Corrosion of other parts of alimentary tract,BURN B,
T28.8,Corrosion of internal genitourinary organs,BURN B,
T29.2,"Burns of multiple regions, no more than second-degree burns mentioned",BURN B,
T29.3,"Burns of multiple regions, at least one burn of third degree mentioned",BURN B,
T29.6,"Corrosions of multiple regions, no more than second-degree corrosions mentioned",BURN B,
T31.2,Burns involving 20-29% of body surface,BURN B,
T31.3,Burns involving 30-39% of body surface,BURN B,
T31.4,Burns involving 40-49% of body surface,BURN B,
T31.5,Burns involving 50-59% of body surface,BURN B,
T32.2,Corrosions involving 20-29% of body surface,BURN B,
T32.3,Corrosions involving 30-39% of body surface,BURN B,
T32.4,Corrosions involving 40-49% of body surface,BURN B,
T34.9,Frostbite with tissue necrosis of other and unspecified sites; Frosbite with tissue necrosis NOS; Frosbite with tissue of leg NOS; Frosbite with tissue necrosis of trunk NOS,BURN B,
T21.3,Burn of third degree of trunk,BURN C,
T31.6,Burns involving 60-69% of body surface,BURN C,
T31.7,Burns involving 70-79% of body surface,BURN C,
T31.8,Burns involving 80-89% of body surface,BURN C,
T31.9,Burns involving 90% or more of body surface,BURN C,
T32.9,Corrosions involving 90% or more of body surface,BURN C,
I47.0,Re-entry ventricular arrhythmia,CARDIAC ARRHYTHMIA,
I47.1,Supraventricular tachycardia; Atrial Paroxysmal tachycardia; Atrioventricular [AV] Paroxysmal tachycardia; Junctional Paroxysmal tachycardia; Nodal Paroxysmal tachycardia,CARDIAC ARRHYTHMIA,
I47.2,Ventricular tachycardia,CARDIAC ARRHYTHMIA,
I47.9,"Paroxysmal tachycardia, unspecified; Bouveret (-Hoffmann) syndrome",CARDIAC ARRHYTHMIA,
I48,Atrial fibrillation and flutter,CARDIAC ARRHYTHMIA,
I49.0,Ventricular fibrillation and flutter,CARDIAC ARRHYTHMIA,
I49.1,Atrial premature depolarization; Atrial premature beats,CARDIAC ARRHYTHMIA,
I49.2,Junctional premature depolarization,CARDIAC ARRHYTHMIA,
I49.3,Ventricular premature depolarization,CARDIAC ARRHYTHMIA,
I49.4,Other and unspecified premature depolarization; Ectopic beats; Extrasystoles; Extrasystolic arrhythmias; Premature beats NOS; Premature contractions,CARDIAC ARRHYTHMIA,
I49.5,Sick sinus syndrome; Tachycardia-bradycardia syndrome,CARDIAC ARRHYTHMIA,
I49.8,Other specified cardiac arrhythmias; Brugada syndrome;  Long QT syndrome; coronary sinus rhythm disorder; ectopic rhythm disorder; nodal rhythm disorder,CARDIAC ARRHYTHMIA,
I49.9,"Cardiac arrhythmia, unspecified; Cardiac arrhythmia NOS",CARDIAC ARRHYTHMIA,
I42.0,Dilated cardiomyopathy; Congestive cardiomyopathy,CARDIOMYOPATHY,
I42.1,Obstructive hypertrophic cardiomyopathy; Hypertrophic subaortic stenosis,CARDIOMYOPATHY,
I42.2,Other hypertrophic cardiomyopathy; Nonobstructive hypertrophic cardiomyopathy,CARDIOMYOPATHY,
I42.3,Endomyocardial (eosinophilic) disease; Endomyocardial (tropical) fibrosis; Löffler's endocarditis,CARDIOMYOPATHY,
